"Nome_da_Cidade","Latitude","Longitude"
"Ibirubá",-28.6296,-53.0919
"Soledade",-28.8303,-52.5136
"Bom Jesus",-28.6695,-50.4344
"Estrela",-29.5006,-51.9602
"Canoas",-29.9178,-51.1854
"São Leopoldo",-29.7547,-51.1505
"Roca Sales",-29.2886,-51.8653
"Arroio do Meio",-29.4022,-51.9476
"Muçum",-29.1637,-51.8787
"Rio Grande",-32.0349,-52.0986
"Porto Alegre",-30.0346,-51.2177
"Santa Maria",-29.6868,-53.8069
"Caçapava do Sul",-30.5149,-53.4827
"Restinga Seca",-29.8188,-53.7087
"Santa Cruz do Sul",-29.7221,-52.4252
"Rio Pardo",-29.9888,-52.3797
